"Country or Area","Year","Value","Value Footnotes"
"Kazakhstan","2019","24080",""
"Kenya","2019","4430",""
"Kiribati","2019","4650",""
"Korea","2019","44390",""
"Kosovo","2019","12180",""
"Kyrgyz Republic","2019","5090",""
"Lao PDR","2019","7980",""
"Late-demographic dividend","2019","18036.2682971472",""
"Latin America & Caribbean","2019","16467.374038909",""
"Latin America & Caribbean (excluding high income)","2019","15930.1622658931",""
"Latin America & Caribbean (IDA & IBRD)","2019","16463.6679723429",""
"Latvia","2019","32540",""
"Least developed countries: UN classification","2019","3099.23873011329",""
"Lebanon","2019","14920",""
"Lesotho","2019","3330",""
"Liberia","2019","1320",""
"Libya","2019","16130",""
"Lithuania","2019","38530",""
"Low & middle income","2019","10967.1860522521",""
"Low income","2019","2450.0516815858",""
"Lower middle income","2019","6761.19713781546",""
"Luxembourg","2019","79660",""
"Madagascar","2019","1660",""
"Malawi","2019","1080",""
"Malaysia","2019","28830",""
"Maldives","2019","18380",""
"Mali","2019","2350",""
"Malta","2019","43850",""
"Mauritania","2019","5360",""
"Mauritius","2019","26840",""
"Mexico","2019","20340",""
"Middle East & North Africa","2019","16952.8303666679",""
"Middle East & North Africa (excluding high income)","2019","10937.2873348395",""
"Middle East & North Africa (IDA & IBRD)","2019","10977.6223576441",""
"Middle income","2019","11967.6216597016",""
"Moldova","2019","14300",""
"Mongolia","2019","11420",""
"Montenegro","2019","24120",""
"Morocco","2019","7680",""
"Mozambique","2019","1310",""
"Myanmar","2019","5170",""
"Namibia","2019","9780",""
"Nauru","2019","17820",""
"Nepal","2019","3610",""
"Netherlands","2019","61480",""
"New Zealand","2019","43540",""
"Nicaragua","2019","5440",""
"Niger","2019","1330",""
"Nigeria","2019","5190",""
"North America","2019","64547.5626326301",""
"North Macedonia","2019","17270",""
"Norway","2019","72920",""
"OECD members","2019","47386.05774813",""
"Oman","2019","26210",""
"Other small states","2019","23166.0985525777",""
"Pacific island small states","2019","7393.33657639295",""
"Pakistan","2019","4800",""
"Palau","2019","19580",""
"Panama","2019","30690",""
"Papua New Guinea","2019","4360",""
"Paraguay","2019","12790",""
"Peru","2019","12790",""
"Philippines","2019","10230",""
"Poland","2019","33770",""
"Portugal","2019","36980",""
"Post-demographic dividend","2019","52352.6128489874",""
"Pre-demographic dividend","2019","3546.64075490678",""
"Puerto Rico","2019","24300",""
"Qatar","2019","91670",""
"Romania","2019","32850",""
"Russia","2019","28270",""
"Rwanda","2019","2250",""
"Ṣo Tom̩ and Principe","2019","4130",""
"Samoa","2019","6500",""
"Saudi Arabia","2019","49520",""
"Senegal","2019","3470",""
"Serbia","2019","18440",""
"Seychelles","2019","29470",""
"Sierra Leone","2019","1770",""
"Singapore","2019","92270",""
"Slovak Republic","2019","32920",""
"Slovenia","2019","41740",""
"Small states","2019","20930.9908499767",""
"Solomon Islands","2019","2750",""
"South Africa","2019","12670",""
"South Asia","2019","6448.11988124975",""
"South Asia (IDA & IBRD)","2019","6448.11988124975",""
"Spain","2019","43510",""
"Sri Lanka","2019","13260",""
"St. Kitts and Nevis","2019","26360",""
"St. Lucia","2019","15180",""
"St. Vincent and the Grenadines","2019","12930",""
"Sub-Saharan Africa","2019","3800.54542469877",""
"Sub-Saharan Africa (excluding high income)","2019","3771.88560074853",""
"Sub-Saharan Africa (IDA & IBRD)","2019","3800.54542469877",""
"Sudan","2019","3990",""
"Suriname","2019","15310",""
"Sweden","2019","58090",""
"Switzerland","2019","73800",""
"Tajikistan","2019","4110",""
"Tanzania","2019","2700",""
"Thailand","2019","18570",""
"The Bahamas","2019","37420",""
"The Gambia","2019","2280",""
"Timor-Leste","2019","4970",""
"Togo","2019","1670",""
"Tonga","2019","7000",""
"Trinidad and Tobago","2019","27140",""
"Tunisia","2019","10850",""
"Turkey","2019","27660",""
"Tuvalu","2019","6180",""
"Uganda","2019","2220",""
"Ukraine","2019","13750",""
"United Arab Emirates","2019","70430",""
"United Kingdom","2019","49040",""
"United States","2019","66080",""
"Upper middle income","2019","17263.6772891692",""
"Uruguay","2019","21180",""
"Uzbekistan","2019","7420",""
"Vanuatu","2019","3320",""
"Vietnam","2019","7910",""
"West Bank and Gaza","2019","7510",""
"World","2019","17718.3914621462",""
"Zambia","2019","3560",""
"Zimbabwe","2019","2740",""

