Series Name,Series Code,Country Name,Country Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,58.319,59.401,60.194,60.721,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,65.872,66.24,66.597,66.953,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,82.2926829268293,82.5439024390244,82.7926829268293,83.0926829268293,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,67.252,67.341,67.444,67.561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,81.6317073170732,81.7341463414634,81.9829268292683,82.1317073170732,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.5756097560976,82.6756097560976,82.8268292682927,82.1756097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,77.251,77.462,77.657,77.836,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,65.839,66.187,66.467,66.69,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,61.44,61.735,62.05,62.383,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,73.414,73.6,73.767,73.919,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,80.9926829268293,80.8926829268293,81.2926829268293,80.9414634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,63.463,63.78,64.074,64.347,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.2878048780488,81.7878048780488,81.6390243902439,81.0878048780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,71.579756097561,71.8865853658537,72.0475609756098,71.4046341463415,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,72.388,72.384,72.397,72.426,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,79.631,79.859,80.074,80.277,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,73.81,74.063,74.302,74.529,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,60.706,61.185,61.602,61.962,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,57.673,58.003,58.322,58.634,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,69.624,69.774,69.906,70.023,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,63.29,63.66,64.001,64.315,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,74.898,75.088,75.27,75.448,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,84.6804878048781,84.9341463414634,85.0780487804878,85.3878048780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,75.8170731707317,76.0658536585366,76.3195121951219,75.6170731707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,82.6609756097561,82.8609756097561,83.1634146341463,83.0658536585366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,69.165,69.416,69.656,69.887,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,71.282,71.509,71.716,71.908,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,76.271,76.479,76.677,76.87,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,70.294,70.454,70.604,70.748,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,82.1560975609756,82.2048780487805,82.7024390243903,82.2048780487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,82.5512195121951,82.8024390243903,82.8048780487805,82.7,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,82.9463414634147,83.3463414634146,83.4975609756098,82.3439024390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,74.267,74.368,74.475,74.586,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,84.099756097561,84.2109756097561,84.3563414634146,84.6156097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,74.292,74.405,74.526,74.655,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,72.95,73.15,73.18,71.37,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,65.909,66.342,66.699,66.991,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,67.851,68.116,68.369,68.611,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People's Rep.",PRK,71.91,72.095,72.274,72.453,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,82.6268292682927,82.6268292682927,83.2268292682927,83.4268292682927,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,72.2951219512195,72.6951219512195,73.0926829268293,71.0878048780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,75.311,75.398,75.489,75.586,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,71.2,71.4,71.6,71.8,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,67.277,67.61,67.923,68.219,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,74.6292682926829,74.7829268292683,75.3878048780488,75.3878048780488,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,78.833,78.875,78.93,79.004,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,52.947,53.705,54.331,54.836,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,63.295,63.73,64.104,64.423,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,72.52,72.724,72.913,73.082,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,83.7463414634147,83.0414634146342,84.1609756097561,81.8073170731707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,75.4804878048781,75.6804878048781,76.2829268292683,74.9292682926829,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,82.0951219512195,82.2951219512195,82.6390243902439,81.7414634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,83.989,84.118,84.244,84.37,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,66.311,66.681,67.041,67.39,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,63.279,63.798,64.263,64.694,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,75.828,75.997,76.156,76.306,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,78.325,78.627,78.921,79.208,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,58.452,58.893,59.306,59.692,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,82.3463414634146,82.4487804878049,82.8585365853659,82.6536585365854,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,64.464,64.704,64.925,65.129,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,74.5146341463415,74.4163414634146,74.2358536585366,74.1770731707317,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,74.947,74.992,75.054,75.131,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,67.618,67.755,67.883,68.002,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,71.717,71.808,71.901,72.006,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,69.509,69.689,69.87,70.056,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,76.4853658536585,76.8414634146342,76.6829268292683,75.9317073170732,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,76.218,76.453,76.68,76.901,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,59.309,60.163,60.854,61.387,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,66.558,66.867,67.134,67.363,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,63.021,63.373,63.708,64.045,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,70.169,70.478,70.778,71.067,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,81.7609756097561,81.8121951219512,82.1121951219512,81.409756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,77.5390243902439,77.4341463414634,77.6341463414634,77.7711707317073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,81.6585365853659,81.8585365853659,81.7073170731707,82.0560975609756,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,74.068,74.275,74.485,74.697,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,61.599,62.024,62.42,62.792,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,53.95,54.332,54.687,55.018,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,75.9536585365854,76.6487804878049,76.6024390243903,75.6931707317073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,82.609756097561,82.7585365853659,82.9585365853659,83.209756097561,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,77.393,77.633,77.861,78.078,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,66.947,67.114,67.273,67.428,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,78.149,78.329,78.506,78.68,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,64.01,64.263,64.501,64.725,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,73.992,74.131,74.254,74.363,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,76.286,76.516,76.736,76.947,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,70.952,71.095,71.231,71.36,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,77.7536585365854,77.6024390243903,77.9048780487805,76.6,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,81.4243902439025,81.3243902439024,81.6756097560976,80.9756097560976,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,79.6345365853659,79.7781951219512,79.928512195122,80.0874634146342,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,79.981,80.1,80.227,80.363,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,75.309756097561,75.3585365853659,75.6073170731707,74.3536585365854,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,72.4514634146342,72.6621951219512,73.0839024390244,71.3387804878049,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,68.341,68.7,69.024,69.329,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,73.046,73.187,73.321,73.45,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,69.933,70.17,70.385,70.583,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,74.874,74.998,75.133,75.28,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,67.38,67.665,67.941,68.213,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,75.5390243902439,75.890243902439,75.9365853658537,74.2292682926829,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,74.3,72.8414634146341,74.0463414634146,77.2365853658537,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,53.895,54.309,54.696,55.066,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,83.0951219512195,83.2975609756098,83.5951219512195,83.7439024390244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,77.1658536585366,77.2658536585366,77.6658536585366,76.8658536585366,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,81.0292682926829,81.3780487804878,81.5292682926829,80.5317073170732,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,72.645,72.835,72.996,73.132,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,56.709,57.068,57.397,57.697,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,63.538,63.857,64.131,64.379,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,57.365,57.604,57.846,58.095,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,83.2829268292683,83.4317073170732,83.8317073170732,82.3341463414634,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,76.648,76.812,76.978,77.144,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Kitts and Nevis,KNA,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,75.907,76.057,76.203,76.343,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,79.6219512195122,79.8219512195122,79.9731707317073,80.1219512195122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,72.3,72.415,72.534,72.658,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,64.881,65.095,65.311,65.53,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,71.463,71.57,71.682,71.802,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,82.409756097561,82.5585365853659,83.109756097561,82.4073170731707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,83.5512195121951,83.7536585365854,83.9048780487805,83.1,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syrian Arab Republic,SYR,70.967,71.779,72.697,73.651,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,70.647,70.879,71.097,71.301,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,64.479,65.015,65.456,65.815,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,76.683,76.931,77.15,77.344,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor-Leste,TLS,69.007,69.26,69.495,69.712,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,60.489,60.76,61.042,61.34,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tonga,TON,70.701,70.801,70.907,71.018,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,73.245,73.38,73.507,73.628,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,76.31,76.505,76.699,76.891,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkey,TUR,77.161,77.437,77.691,77.928,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,67.956,68.073,68.191,68.313,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tuvalu,TUV,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,62.516,62.973,63.368,63.713,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,71.7809756097561,71.5826829268293,71.8273170731707,71.1851219512195,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,77.647,77.814,77.972,78.12,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,81.2560975609756,81.2560975609756,81.2048780487805,80.9024390243903,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,78.5390243902439,78.6390243902439,78.7878048780488,77.2804878048781,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,77.632,77.77,77.911,78.056,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,71.388,71.573,71.725,71.848,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,70.172,70.323,70.474,70.623,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,72.246,72.128,72.064,72.066,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,75.241,75.317,75.4,75.493,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,79.3682926829268,79.5195121951219,79.6682926829268,79.819512195122,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,73.74,73.895,74.053,74.213,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,66.086,66.096,66.125,66.181,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,63.043,63.51,63.886,64.194,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,60.812,61.195,61.49,61.738,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Eastern and Southern,AFE,63.2462635340566,63.648988039777,64.0052126245997,64.3257022314803,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Western and Central,AFW,57.382362702625,57.7623467867763,58.1157227231324,58.4459527348481,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,71.6226704254941,71.8070751075422,71.9897093670282,72.1707598827252,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Caribbean small states,CSS,73.5174899503022,73.6371062810432,73.7547323090936,73.8709059808875,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central Europe and the Baltics,CEB,76.9474426395729,76.9768226818402,77.2668440868557,76.1441688035782,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Early-demographic dividend,EAR,70.2542346980289,70.4832383376349,70.7012013247764,70.9112394136255,..
